HourUTC;HourDK;ConnectedArea;SharePPM;ShareMWh
2024-12-29 10:00:00;2024-12-29 11:00:00;DK1;634200;4273,989531
2024-12-29 10:00:00;2024-12-29 11:00:00;NO2;28915;194,867646
2024-12-29 10:00:00;2024-12-29 11:00:00;SE;91836;618,901303
2024-12-29 10:00:00;2024-12-29 11:00:00;GE;0;0,000000
2024-12-29 10:00:00;2024-12-29 11:00:00;NL;0;0,000000
2024-12-29 09:00:00;2024-12-29 10:00:00;DK2;246531;1635,080444
2024-12-29 09:00:00;2024-12-29 10:00:00;DK1;652006;4324,332640
2024-12-29 09:00:00;2024-12-29 10:00:00;NO2;40337;267,532181
2024-12-29 09:00:00;2024-12-29 10:00:00;SE;61124;405,399684
2024-12-29 09:00:00;2024-12-29 10:00:00;GE;0;0,000000
2024-12-29 09:00:00;2024-12-29 10:00:00;NL;0;0,000000
2024-12-29 08:00:00;2024-12-29 09:00:00;DK1;697572;4371,022807
2024-12-29 08:00:00;2024-12-29 09:00:00;DK2;265982;1666,657156
2024-12-29 08:00:00;2024-12-29 09:00:00;NO2;15774;98,844984
2024-12-29 08:00:00;2024-12-29 09:00:00;SE;20670;129,522199
2024-12-29 08:00:00;2024-12-29 09:00:00;GE;0;0,000000
2024-12-29 08:00:00;2024-12-29 09:00:00;NL;0;0,000000
2024-12-29 07:00:00;2024-12-29 08:00:00;DK1;713281;4313,006218
2024-12-29 07:00:00;2024-12-29 08:00:00;DK2;275327;1664,826110
2024-12-29 07:00:00;2024-12-29 08:00:00;NO2;5046;30,516767
2024-12-29 07:00:00;2024-12-29 08:00:00;SE;6343;38,357540
2024-12-29 07:00:00;2024-12-29 08:00:00;GE;0;0,000000
2024-12-29 07:00:00;2024-12-29 08:00:00;NL;0;0,000000
2024-12-29 06:00:00;2024-12-29 07:00:00;DK1;720336;4024,645101
2024-12-29 06:00:00;2024-12-29 07:00:00;DK2;279663;1562,532101
2024-12-29 06:00:00;2024-12-29 07:00:00;NO2;0;0,000000
2024-12-29 06:00:00;2024-12-29 07:00:00;SE;0;0,000000
2024-12-29 06:00:00;2024-12-29 07:00:00;GE;0;0,000000
2024-12-29 06:00:00;2024-12-29 07:00:00;NL;0;0,000000
2024-12-29 05:00:00;2024-12-29 06:00:00;DK2;283721;1531,530176
2024-12-29 05:00:00;2024-12-29 06:00:00;DK1;716278;3866,469619
2024-12-29 05:00:00;2024-12-29 06:00:00;NO2;0;0,000000
2024-12-29 05:00:00;2024-12-29 06:00:00;SE;0;0,000000
2024-12-29 05:00:00;2024-12-29 06:00:00;GE;0;0,000000
2024-12-29 05:00:00;2024-12-29 06:00:00;NL;0;0,000000
2024-12-29 04:00:00;2024-12-29 05:00:00;DK2;293490;1519,572124
2024-12-29 04:00:00;2024-12-29 05:00:00;DK1;706509;3658,006350
2024-12-29 04:00:00;2024-12-29 05:00:00;NO2;0;0,000000
2024-12-29 04:00:00;2024-12-29 05:00:00;SE;0;0,000000
2024-12-29 04:00:00;2024-12-29 05:00:00;GE;0;0,000000
2024-12-29 04:00:00;2024-12-29 05:00:00;NL;0;0,000000
2024-12-29 03:00:00;2024-12-29 04:00:00;DK2;292088;1362,038504
2024-12-29 03:00:00;2024-12-29 04:00:00;DK1;687014;3203,623531
2024-12-29 03:00:00;2024-12-29 04:00:00;NO2;9483;44,223603
2024-12-29 03:00:00;2024-12-29 04:00:00;SE;11413;53,221954
2024-12-29 03:00:00;2024-12-29 04:00:00;GE;0;0,000000
2024-12-29 03:00:00;2024-12-29 04:00:00;NL;0;0,000000
2024-12-29 02:00:00;2024-12-29 03:00:00;DK2;308562;1407,347857
2024-12-29 02:00:00;2024-12-29 03:00:00;DK1;669183;3052,135748
2024-12-29 02:00:00;2024-12-29 03:00:00;NO2;10228;46,651923
2024-12-29 02:00:00;2024-12-29 03:00:00;SE;12025;54,848092
2024-12-29 02:00:00;2024-12-29 03:00:00;GE;0;0,000000
2024-12-29 02:00:00;2024-12-29 03:00:00;NL;0;0,000000
2024-12-29 01:00:00;2024-12-29 02:00:00;DK1;619529;2834,186660
2024-12-29 01:00:00;2024-12-29 02:00:00;DK2;301026;1377,117718
2024-12-29 01:00:00;2024-12-29 02:00:00;NO2;37608;172,047618
2024-12-29 01:00:00;2024-12-29 02:00:00;SE;41836;191,389973
2024-12-29 01:00:00;2024-12-29 02:00:00;GE;0;0,000000
2024-12-29 01:00:00;2024-12-29 02:00:00;NL;0;0,000000
2024-12-29 00:00:00;2024-12-29 01:00:00;DK1;608023;2802,399185
2024-12-29 00:00:00;2024-12-29 01:00:00;DK2;290637;1339,557113
2024-12-29 00:00:00;2024-12-29 01:00:00;NO2;49295;227,205192
2024-12-29 00:00:00;2024-12-29 01:00:00;SE;52043;239,869207
2024-12-29 00:00:00;2024-12-29 01:00:00;GE;0;0,000000
2024-12-29 00:00:00;2024-12-29 01:00:00;NL;0;0,000000
2024-12-28 23:00:00;2024-12-29 00:00:00;DK1;618481;2880,681181
2024-12-28 23:00:00;2024-12-29 00:00:00;DK2;263706;1228,255431
2024-12-28 23:00:00;2024-12-29 00:00:00;NO2;56959;265,298563
2024-12-28 23:00:00;2024-12-29 00:00:00;SE;60852;283,429236
2024-12-28 23:00:00;2024-12-29 00:00:00;GE;0;0,000000
2024-12-28 23:00:00;2024-12-29 00:00:00;NL;0;0,000000
2024-12-28 22:00:00;2024-12-28 23:00:00;DK2;304134;1248,492206
2024-12-28 22:00:00;2024-12-28 23:00:00;DK1;695865;2856,578066
2024-12-28 22:00:00;2024-12-28 23:00:00;NO2;0;0,000000
2024-12-28 22:00:00;2024-12-28 23:00:00;SE;0;0,000000
2024-12-28 22:00:00;2024-12-28 23:00:00;GE;0;0,000000
2024-12-28 22:00:00;2024-12-28 23:00:00;NL;0;0,000000
2024-12-28 21:00:00;2024-12-28 22:00:00;DK1;679681;2798,527299
2024-12-28 21:00:00;2024-12-28 22:00:00;DK2;320318;1318,881648
2024-12-28 21:00:00;2024-12-28 22:00:00;NO2;0;0,000000
2024-12-28 21:00:00;2024-12-28 22:00:00;SE;0;0,000000
2024-12-28 21:00:00;2024-12-28 22:00:00;GE;0;0,000000
2024-12-28 21:00:00;2024-12-28 22:00:00;NL;0;0,000000
2024-12-28 20:00:00;2024-12-28 21:00:00;DK2;332955;1358,934515
2024-12-28 20:00:00;2024-12-28 21:00:00;DK1;667044;2722,492111
2024-12-28 20:00:00;2024-12-28 21:00:00;NO2;0;0,000000
2024-12-28 20:00:00;2024-12-28 21:00:00;SE;0;0,000000
2024-12-28 20:00:00;2024-12-28 21:00:00;GE;0;0,000000
2024-12-28 20:00:00;2024-12-28 21:00:00;NL;0;0,000000
2024-12-28 19:00:00;2024-12-28 20:00:00;DK1;665531;2752,822479
2024-12-28 19:00:00;2024-12-28 20:00:00;DK2;334468;1383,452500
2024-12-28 19:00:00;2024-12-28 20:00:00;NO2;0;0,000000
2024-12-28 19:00:00;2024-12-28 20:00:00;SE;0;0,000000
2024-12-28 19:00:00;2024-12-28 20:00:00;GE;0;0,000000
2024-12-28 19:00:00;2024-12-28 20:00:00;NL;0;0,000000
